hostspecies,eggsize
meadow,19.65
meadow,20.05
meadow,20.65
meadow,20.85
meadow,21.65
meadow,21.65
meadow,21.65
meadow,21.85
meadow,21.85
meadow,21.85
meadow,22.05
meadow,22.05
meadow,22.05
meadow,22.05
meadow,22.05
meadow,22.05
meadow,22.05
meadow,22.05
meadow,22.05
meadow,22.05
meadow,22.25
meadow,22.25
meadow,22.25
meadow,22.25
meadow,22.25
meadow,22.25
meadow,22.25
meadow,22.25
meadow,22.45
meadow,22.45
meadow,22.45
meadow,22.65
meadow,22.65
meadow,22.85
meadow,22.85
meadow,22.85
meadow,22.85
meadow,23.05
meadow,23.25
meadow,23.25
meadow,23.45
meadow,23.65
meadow,23.85
meadow,24.25
meadow,24.45
tree,21.05
tree,21.85
tree,22.05
tree,22.45
tree,22.65
tree,23.25
tree,23.25
tree,23.25
tree,23.45
tree,23.45
tree,23.65
tree,23.85
tree,24.05
tree,24.05
tree,24.05
hedge,20.85
hedge,21.65
hedge,22.05
hedge,22.85
hedge,23.05
hedge,23.05
hedge,23.05
hedge,23.05
hedge,23.45
hedge,23.85
hedge,23.85
hedge,23.85
hedge,24.05
hedge,25.05
robin,21.05
robin,21.85
robin,22.05
robin,22.05
robin,22.05
robin,22.25
robin,22.45
robin,22.45
robin,22.65
robin,23.05
robin,23.05
robin,23.05
robin,23.05
robin,23.05
robin,23.25
robin,23.85
wagtail,21.05
wagtail,21.85
wagtail,21.85
wagtail,21.85
wagtail,22.05
wagtail,22.45
wagtail,22.65
wagtail,23.05
wagtail,23.05
wagtail,23.25
wagtail,23.45
wagtail,24.05
wagtail,24.05
wagtail,24.05
wagtail,24.85
wren,19.85
wren,20.05
wren,20.25
wren,20.85
wren,20.85
wren,20.85
wren,21.05
wren,21.05
wren,21.05
wren,21.25
wren,21.45
wren,22.05
wren,22.05
wren,22.05
wren,22.25
