"year","USA_TRAWL","USSR_TRAWL","CANADA_TRAWL","CANADA_BOTTOM_TRAWL","CANADA_MIDWATER_TRAWL","TOTAL_TRAWL_ALL_CATCH"
1965,92,0,0,261.91309264,0,353.91309264
1966,95,0,0,311.89893104,0,406.89893104
1967,65,0,0,138.558294648,0,203.558294648
1968,65,0,1.267336048,165.752495824,0,232.019831872
1969,43,0,0.0226796,148.230690456,0,191.253370056
1970,104,0,0.038101728,165.816905888,0,269.855007616
1971,161,0,0,189.308435568,0,350.308435568
1972,582,0,0.014968536,687.688109648,0.592391152,1270.295469336
1973,82,6,0.973862024,81.813481856,0,170.78734388
1974,227,65,0.069853168,121.703723112,0,413.77357628
1975,541,0,0.033112216,276.90884416,2.840846696,820.782803072
1976,473,0,0.041276872,381.85415724,0.148324584,855.043758696
1977,571,0,0.063956472,786.467746672,0,1357.531703144
1978,948,0,0.185065536,130.315167232,0.041730464,1078.541963232
1979,1236,0,8.497592528,267.4605228,0.094347136,1512.052462464
1980,317,0,6.075411248,329.178971872,0.069853168,652.324236288
1981,0,0,1.575325016,227.19062504,0,228.765950056
1982,0,0,0.244486088,245.650005072,0,245.89449116
1983,0,0,0.425922888,273.635270696,0,274.061193584
1984,0,0,0.8278054,186.17230048,0,187.00010588
1985,0,0,10.377277776,222.758124016,0,233.135401792
1986,0,0,4.9214732,546.904039056,0,551.825512256
1987,0,0,6.249136984,400.67595728,0,406.925094264
1988,0,0,16.733462472,620.538349968,0,637.27181244
1989,0,0,30.683684432,592.495931752,0.19958048,623.379196664
1990,0,0,19.927657336,440.640587624,0.15422128,460.72246624
1991,0,0,2.174520048,436.17179924,0.472189272,438.81850856
1992,0,0,0,448.321714552,0.328400608,448.65011516
1993,0,0,2.023927504,540.530164272,0.524352352,543.078444128
1994,0,0,2.059761272,479.282543696,1.792595584,483.134900552
1995,0,0,1.515450872,425.79588224,0.110222856,427.421555968
1996,0,0,4.75958,186.03541,0.12785,190.92284
1997,0,0,1.54859,154.73876,0.00569,156.29304
1998,0,0,4.35953,370.06432,1.64811,376.07196
1999,0,0,1.68333,401.27164,0.08513,403.0401
2000,0,0,1.19431,324.51732,0.40954,326.12117
2001,0,0,2.60371,296.40305,0.59544,299.6022
2002,0,0,5.7082,254.87979,6.52051,267.1085
2003,0,0,4.9087,220.11557,2.55422,227.57849
2004,0,0,1.9645,342.07388,0.67155,344.70993
2005,0,0,5.46309,271.56091,0.04188,277.06588
2006,0,0,0,441.4789,0.2931,441.772
2007,0,0,5.0275,283.707600000001,0.1235,288.858600000001
2008,0,0,12.7733,338.8066,1.3767,352.9566
2009,0,0,3.7551,218.2526,1.1557,223.1634
2010,0,0,0.2186,205.5136,2.9679,208.7001
2011,0,0,0.135,174.5353,1.0037,175.674
2012,0,0,0.8598,152.3324,1.4978,154.69
2013,0,0,3.5306,178.8705,1.5756,183.9767
2014,0,0,2.9524,126.5253,2.8893,132.367
2015,0,0,0.5987,132.1191,0.072,132.7898
2016,0,0,0.1744,108.4937,0.2807,108.9488
2017,0,0,0.3477,87.7663000000001,16.7624,104.8764
2018,0,0,0.155,91.2809999999999,78.5084,169.9444
2019,0,0,0.2528,42.7717,69.141,112.1655
2020,0,0,2.1574,71.4316,29.7034,103.2924
2021,0,0,2.3071,170.4764,19.1422,191.9257
2022,0,0,0.2886,114.1331,4.1953,118.617
